PCON22CD,Economically Inactive - Student,Economically Inactive - Aged 16+,Economically Inactive - Aged 16-19,Economically Inactive - Aged 16-24,Economically Inactive - Aged 16-64,Economically Inactive - Aged 20-24,Economic Activity Rate - Aged 16-19,Economic Activity Rate - Aged 16-64,Economic Activity Rate - Aged 20-24,Unemployment Rate - Aged 16+,Unemployment Rate - Aged 16-19,Unemployment Rate - Aged 16-24,Unemployment Rate - Aged 16-64,Unemployment Rate - Aged 20-24,Suffix
E14000544,46.7,38.3,61.8,50.8,26.7,,38.2,73.3,77.2,11.6,,,12.0,,%
E14000545,27.6,26.7,56.5,29.9,15.9,38.4,43.5,84.1,88.6,6.6,,,6.1,,%
E14000546,20.7,43.1,80.7,38.8,24.1,,,75.9,100.0,4.0,,,4.5,,%
E14000547,43.6,39.0,61.4,60.9,26.7,60.6,38.6,73.3,39.4,2.1,,,2.1,,%
E14000548,24.6,43.4,45.0,33.8,30.7,,55.0,69.3,72.5,6.6,,,7.0,,%
E14000549,26.8,8.9,,,6.8,,,93.2,100.0,4.2,,,4.4,,%
E14000550,37.6,33.7,63.1,50.5,19.3,,36.9,80.7,62.2,6.0,,,6.3,,%
E14000551,26.5,43.6,37.8,50.6,21.2,61.6,62.2,78.8,38.4,7.1,,,7.1,,%
E14000552,27.1,27.6,100.0,45.9,14.2,51.9,34.5,85.8,100.0,4.6,,,4.7,,%
E14000553,45.8,26.5,100.0,75.1,20.4,40.7,36.9,79.6,59.3,3.8,,,3.9,,%
E14000554,9.8,51.8,36.6,36.1,29.1,,63.4,70.9,64.8,5.2,,,5.5,,%
E14000555,26.9,35.6,100.0,59.4,30.0,43.3,,70.0,56.7,5.8,,,5.8,,%
E14000556,19.3,49.4,60.3,18.3,22.2,31.9,34.7,77.8,100.0,4.4,40.3,16.4,4.1,,%
E14000557,39.4,52.5,71.6,66.1,33.4,,51.6,66.6,74.2,5.5,,,5.7,,%
E14000558,21.8,32.2,58.6,54.5,21.2,20.8,52.7,78.8,80.4,11.3,57.4,36.8,12.1,,%
E14000559,19.1,41.6,82.1,33.1,29.4,100.0,40.0,70.6,88.1,8.5,82.2,34.2,8.8,,%
E14000560,53.9,30.5,100.0,31.0,21.7,30.5,33.0,78.3,90.6,5.0,,,5.0,,%
E14000561,27.0,46.5,59.0,50.9,39.6,44.1,41.0,60.4,55.9,9.0,100.0,73.4,9.1,,%
E14000562,62.0,45.9,57.4,72.0,26.8,64.4,,73.2,60.3,15.6,,48.0,15.7,58.2,%
E14000563,33.1,51.1,89.1,90.5,48.3,44.3,,51.7,78.0,9.5,,47.9,9.7,,%
E14000564,41.8,23.5,74.1,32.0,17.4,18.3,48.1,82.6,86.1,6.0,,29.4,6.0,,%
E14000565,33.5,34.8,64.1,54.0,26.5,,35.9,73.5,64.4,8.3,,,8.3,,%
E14000566,30.4,28.0,68.8,27.4,21.7,29.0,46.7,78.3,100.0,15.3,,54.1,15.7,,%
E14000567,70.1,39.5,59.3,55.7,27.9,50.5,18.0,72.1,61.1,5.3,,13.9,5.4,,%
E14000568,22.7,42.5,61.2,51.2,35.9,28.1,27.9,64.1,63.2,8.3,50.5,19.4,8.5,,%
E14000569,10.0,44.8,25.4,19.0,21.2,30.8,100.0,78.8,84.0,8.3,81.5,45.1,8.2,,%
E14000570,23.0,39.3,58.9,43.5,27.9,31.4,41.1,72.1,68.6,6.9,,20.5,7.0,,%
E14000571,32.9,40.5,73.8,47.0,29.5,48.0,,70.5,70.6,10.1,,,10.2,,%
E14000572,9.2,41.6,25.1,34.6,21.4,61.5,91.7,78.6,38.5,2.5,,24.2,2.6,47.1,%
E14000573,17.0,52.8,49.3,54.5,36.6,59.9,50.7,63.4,40.1,10.3,,60.0,11.0,18.0,%
E14000574,15.3,46.4,61.5,30.9,28.1,31.9,38.5,71.9,100.0,5.1,,19.7,5.1,,%
E14000575,23.6,30.5,49.5,22.4,13.6,,50.5,86.4,100.0,4.0,42.0,28.4,4.1,,%
E14000576,15.9,34.5,26.5,13.9,7.2,,100.0,92.8,100.0,9.0,,,4.6,,%
E14000577,21.8,37.1,75.6,80.4,19.8,,100.0,80.2,100.0,4.8,,,4.9,,%
E14000578,24.5,50.8,82.8,60.1,35.4,100.0,57.3,64.6,32.9,9.3,,,4.1,,%
E14000579,22.4,44.8,63.3,67.0,28.8,65.3,62.4,71.2,40.9,17.6,,30.8,17.7,,%
E14000580,25.1,41.6,81.8,41.8,24.3,30.7,62.7,75.7,89.1,4.3,,,4.5,,%
E14000581,37.0,37.3,58.0,31.4,23.6,21.5,42.0,76.4,86.6,5.0,49.6,18.2,4.8,,%
E14000582,21.7,43.9,29.9,60.1,25.8,69.1,82.2,74.2,,5.7,,47.2,6.1,,%
E14000583,16.7,34.3,44.0,33.2,15.1,28.8,56.0,84.9,73.1,2.7,,,2.8,,%
E14000584,14.4,37.1,35.5,44.8,22.0,56.9,64.5,78.0,43.1,3.4,,13.6,3.2,,%
E14000585,28.3,37.8,74.7,57.0,25.7,50.1,25.3,74.3,49.9,6.3,68.7,36.2,6.4,25.1,%
E14000586,25.8,34.4,52.8,38.5,17.8,29.4,47.2,82.2,70.6,3.5,27.5,14.8,3.6,12.5,%
E14000587,43.1,45.1,79.4,47.4,33.5,,26.9,66.5,85.9,6.4,,,6.5,,%
E14000588,31.8,43.7,54.9,75.7,29.2,73.4,45.1,70.8,52.3,8.1,,,8.2,,%
E14000589,23.5,38.0,42.0,30.9,25.2,,64.6,74.8,76.1,16.9,,56.2,17.1,,%
E14000590,14.0,57.5,25.6,16.8,34.0,,77.0,66.0,100.0,5.9,,,6.5,,%
E14000591,56.5,32.8,100.0,78.6,24.6,67.4,,75.4,32.6,,,,,,%
E14000592,22.0,40.6,100.0,100.0,22.9,66.1,27.4,77.1,51.9,4.8,83.1,27.6,8.4,,%
E14000593,24.1,24.0,100.0,44.9,18.1,35.6,,81.9,73.2,,,,,,%
E14000594,36.2,35.0,58.3,42.2,12.8,,73.7,87.2,100.0,,,,,,%
E14000595,27.0,34.9,76.8,20.5,12.8,,51.1,87.2,100.0,6.1,,,6.3,,%
E14000596,21.4,38.5,34.2,30.3,17.1,22.8,65.8,82.9,73.1,3.1,,,2.9,,%
E14000597,30.3,34.6,72.0,44.1,20.1,55.2,52.8,79.9,44.8,5.0,63.0,32.0,5.1,,%
E14000598,42.1,28.7,44.6,36.5,18.7,29.1,64.5,81.3,79.2,3.7,,17.5,3.9,,%
E14000599,27.7,25.7,78.2,40.2,16.7,,39.1,83.3,100.0,4.1,,,4.2,,%
E14000600,26.8,28.1,36.7,29.7,14.5,,63.3,85.5,83.0,3.5,,,3.5,,%
E14000601,24.2,26.4,60.5,26.7,18.4,,39.5,81.6,87.2,6.6,,21.1,6.7,,%
E14000602,55.0,27.6,71.4,67.3,22.4,64.0,28.6,77.6,36.0,2.5,,,2.5,,%
E14000603,18.7,49.1,44.2,44.2,35.3,,54.9,64.7,100.0,4.2,,,4.4,,%
E14000604,44.3,23.8,55.8,35.7,14.4,,44.2,85.6,84.6,5.4,,,5.6,,%
E14000605,29.2,36.2,100.0,27.8,16.5,,75.4,83.5,90.0,4.4,,28.5,4.8,,%
E14000606,26.1,36.3,67.6,50.5,18.0,68.9,71.1,82.0,44.6,3.8,,,3.9,,%
E14000607,54.4,27.6,51.0,82.3,11.8,82.3,49.0,88.2,78.4,4.1,,37.3,4.2,,%
E14000608,43.1,28.9,60.1,33.2,13.0,22.4,39.9,87.0,86.1,4.7,,,4.9,,%
E14000609,37.0,36.3,100.0,44.0,22.7,,,77.3,100.0,6.0,,,6.1,,%
E14000610,,32.8,,25.9,18.4,,68.6,81.6,100.0,3.5,,,4.2,,%
E14000611,30.9,39.1,85.9,41.7,21.8,,41.1,78.2,100.0,1.7,,,1.8,,%
E14000612,13.1,45.9,64.8,57.5,33.9,53.8,36.5,66.1,46.2,7.2,,18.0,7.4,,%
E14000613,31.5,44.7,66.8,64.6,26.8,63.5,44.6,73.2,36.5,3.4,41.8,17.5,3.7,,%
E14000614,16.4,39.1,71.0,33.2,23.2,51.8,29.0,76.8,89.1,3.7,,,4.0,,%
E14000615,34.2,18.3,65.1,36.5,12.9,42.2,77.1,87.1,57.8,8.6,,,8.8,,%
E14000616,20.1,37.8,50.1,18.0,13.2,,76.0,86.8,84.0,4.0,,,4.1,,%
E14000617,30.9,24.4,40.7,30.6,17.7,,82.0,82.3,81.6,5.6,,29.9,5.8,,%
E14000618,41.2,24.0,76.9,43.7,11.5,,51.9,88.5,100.0,4.1,,,4.2,,%
E14000619,13.9,41.6,74.8,32.0,27.1,100.0,56.9,72.9,77.4,,,,,,%
E14000620,18.7,26.0,27.0,26.8,11.4,,73.0,88.6,73.4,3.6,,,3.8,,%
E14000621,19.7,38.7,54.1,53.4,17.9,,77.1,82.1,78.0,2.4,,30.8,2.5,,%
E14000622,19.4,37.8,39.6,15.4,13.7,,65.6,86.3,100.0,5.3,,22.5,6.0,,%
E14000623,42.2,40.4,53.2,47.6,24.0,27.5,46.8,76.0,80.4,,,,,,%
E14000624,23.3,35.2,77.8,28.3,18.3,,44.2,81.7,93.1,3.9,,,4.1,,%
E14000625,39.3,32.9,52.1,32.4,12.6,49.0,47.9,87.4,77.3,3.4,,,3.7,,%
E14000626,29.8,28.6,31.7,14.4,15.2,,68.3,84.8,100.0,2.1,,,3.4,,%
E14000627,28.7,38.6,74.1,54.1,16.9,,37.2,83.1,100.0,3.4,,,3.6,,%
E14000628,17.8,36.4,76.0,26.0,18.7,,100.0,81.3,100.0,4.6,,,5.0,,%
E14000629,25.1,35.3,82.7,53.0,28.2,25.2,,71.8,74.8,3.5,,,3.0,,%
E14000630,17.9,30.2,53.2,13.6,14.6,,46.8,85.4,100.0,2.6,,,2.8,,%
E14000631,48.7,34.4,71.1,53.3,14.5,,18.6,85.5,73.1,3.8,,,3.9,,%
E14000632,22.3,44.4,80.0,80.0,28.0,35.5,61.5,72.0,71.2,2.7,,,2.8,,%
E14000633,35.3,52.4,41.4,81.7,31.5,100.0,76.0,68.5,,,,,,,%
E14000634,26.4,42.6,82.3,34.7,18.3,,34.5,81.7,100.0,9.3,,,9.7,,%
E14000635,13.0,33.4,100.0,19.7,14.8,,43.7,85.2,100.0,2.8,,,5.1,,%
E14000636,27.9,40.1,100.0,92.7,33.9,80.1,43.3,66.1,43.4,12.1,,30.7,12.7,28.0,%
E14000637,28.4,38.2,53.0,58.0,21.9,64.6,47.0,78.1,35.4,,,,,,%
E14000638,34.7,54.7,67.1,60.9,26.0,,44.6,74.0,75.7,3.4,54.7,32.4,3.8,,%
E14000639,45.5,31.3,73.5,37.0,22.4,33.4,32.7,77.6,66.6,2.3,,32.2,2.4,,%
E14000640,35.7,28.3,100.0,83.4,15.8,,,84.2,73.2,,,,,,%
E14000641,8.3,35.2,51.8,24.8,18.9,47.0,46.8,81.1,77.1,8.0,,22.5,8.0,,%
E14000642,,55.8,,51.3,35.2,,,64.8,82.4,7.7,,,,,%
E14000643,19.0,41.3,34.9,25.0,20.5,16.6,65.1,79.5,83.4,5.4,,19.7,5.6,,%
E14000644,55.3,27.9,90.3,65.4,23.1,40.9,,76.9,84.5,3.7,,,,,%
E14000645,29.9,34.8,72.2,30.8,18.0,25.8,27.8,82.0,94.5,3.2,,17.1,3.3,,%
E14000646,25.1,29.9,55.8,48.9,16.4,37.2,44.2,83.6,100.0,4.1,,,4.3,,%
E14000647,,39.7,,,17.3,,100.0,82.7,80.6,4.0,,,4.3,,%
E14000648,21.9,30.0,43.8,51.2,10.0,41.5,100.0,90.0,92.5,3.8,,,4.0,,%
E14000649,31.6,33.1,64.5,67.6,25.0,70.1,33.6,75.0,29.9,3.8,28.1,14.4,3.9,,%
E14000650,27.5,26.2,84.2,23.1,13.2,16.3,34.8,86.8,89.2,8.2,,33.0,8.0,34.1,%
E14000651,30.4,38.5,83.1,41.9,28.8,37.6,62.2,71.2,62.4,9.9,54.1,21.5,9.5,22.1,%
E14000652,44.7,24.8,89.6,52.3,20.1,45.5,51.7,79.9,77.3,2.8,,,2.9,,%
E14000653,31.7,29.4,81.0,46.3,9.1,,38.4,90.9,100.0,5.3,,,5.5,,%
E14000654,40.9,23.8,39.8,27.1,18.6,27.7,74.5,81.4,72.3,12.3,,56.6,12.4,72.5,%
E14000655,26.6,27.2,59.1,32.0,16.8,43.0,61.7,83.2,75.0,4.6,,,4.7,,%
E14000656,21.9,22.7,30.3,24.7,11.6,,73.4,88.4,100.0,1.5,,46.6,1.6,,%
E14000657,35.5,30.0,79.4,45.7,20.2,48.2,50.6,79.8,88.5,3.4,,,3.4,,%
E14000658,23.3,36.3,33.8,28.6,14.9,21.7,66.2,85.1,78.3,5.4,27.7,7.3,5.2,,%
E14000659,52.0,30.7,100.0,42.5,14.8,,,85.2,100.0,,,,,,%
E14000660,20.9,41.3,84.4,76.8,23.6,,40.6,76.4,100.0,,,,,,%
E14000661,19.5,40.0,56.9,34.7,24.2,,48.3,75.8,74.5,3.6,,13.8,3.7,20.6,%
E14000662,28.4,38.2,85.4,49.9,23.2,29.6,47.8,76.8,70.4,5.7,51.5,25.5,5.9,,%
E14000663,20.3,31.4,47.4,26.5,20.4,24.9,52.6,79.6,88.8,4.2,,,4.3,,%
E14000664,27.6,42.3,79.8,64.1,18.8,48.3,38.1,81.2,51.7,4.7,,,,,%
E14000665,45.4,32.6,56.1,39.2,12.8,,43.9,87.2,76.1,3.4,,,3.6,,%
E14000666,28.0,44.1,94.6,63.2,32.1,38.4,26.3,67.9,79.9,3.5,,,3.5,,%
E14000667,28.7,42.5,80.8,34.2,23.5,,59.9,76.5,81.0,4.8,,,4.7,,%
E14000668,29.7,37.8,81.0,58.8,25.9,41.4,44.7,74.1,58.6,3.5,,19.8,3.7,,%
E14000669,18.7,33.4,56.8,27.6,14.9,,51.9,85.1,85.9,3.5,59.9,34.4,3.6,,%
E14000670,25.4,41.0,37.8,34.9,26.1,51.8,100.0,73.9,48.2,3.0,,,4.5,,%
E14000671,25.0,39.5,62.7,25.2,21.5,,72.1,78.5,76.9,6.2,,,6.4,,%
E14000672,27.2,40.2,64.4,38.4,23.0,,35.6,77.0,77.6,,,,,,%
E14000673,23.4,19.1,82.8,38.0,15.3,,,84.7,100.0,2.6,,,2.7,,%
E14000674,16.6,28.9,54.7,24.6,19.7,43.3,,80.3,88.3,5.3,,,8.2,,%
E14000675,29.5,34.6,100.0,46.2,16.7,,,83.3,100.0,10.2,,,10.8,,%
E14000676,53.2,30.6,86.1,86.1,16.8,,,89.2,,7.8,,,7.8,,%
E14000677,28.0,37.3,100.0,66.0,22.2,,,77.8,100.0,4.4,,,4.7,,%
E14000678,15.6,39.1,32.1,23.9,15.8,,67.9,84.2,85.9,2.4,,,2.6,,%
E14000679,33.0,26.2,92.1,51.7,23.4,65.7,30.6,76.6,100.0,9.4,,,9.6,,%
E14000680,61.4,29.6,34.8,21.7,9.1,46.1,65.2,90.9,100.0,3.7,,,3.8,,%
E14000681,14.4,34.2,53.8,39.2,20.2,53.2,46.2,79.8,71.6,3.5,,,3.8,,%
E14000682,27.9,40.5,57.8,16.9,19.8,,67.8,80.2,100.0,5.9,,,3.1,,%
E14000683,7.4,49.9,49.7,28.4,29.6,,82.7,70.4,91.5,3.8,,,3.6,,%
E14000684,10.0,39.7,55.1,27.4,17.4,,,82.6,100.0,4.2,,,4.4,,%
E14000685,30.4,34.6,50.7,44.6,19.0,,49.3,81.0,81.7,,,,,,%
E14000686,22.5,42.8,73.7,73.7,23.3,,35.7,76.7,100.0,3.1,,,,,%
E14000687,22.3,41.6,56.9,57.6,33.8,,43.1,66.2,100.0,7.6,,,7.7,,%
E14000688,32.0,46.6,60.5,44.1,31.8,,64.4,68.2,100.0,5.6,,,5.7,,%
E14000689,24.4,47.8,73.9,73.9,26.4,26.6,33.1,73.6,82.0,4.8,,26.8,3.8,,%
E14000690,24.5,44.3,100.0,58.2,23.0,,44.3,77.0,100.0,3.9,,,4.0,,%
E14000691,13.0,41.7,100.0,37.0,33.6,,52.0,66.4,100.0,6.5,,,6.7,,%
E14000692,43.6,36.9,67.4,68.8,21.6,32.2,,78.4,72.8,9.5,,,10.0,,%
E14000693,22.4,30.6,75.6,25.5,19.9,37.1,30.2,80.1,78.7,3.0,,,3.1,,%
E14000694,24.1,29.7,100.0,25.6,10.3,,46.0,89.7,80.2,4.8,,,6.6,,%
E14000695,30.7,28.6,61.9,31.3,13.7,,59.4,86.3,100.0,4.3,,,4.3,,%
E14000696,38.2,27.9,100.0,49.3,14.7,43.5,,85.3,56.5,10.2,,,10.2,,%
E14000697,15.1,36.2,54.5,36.4,22.6,56.0,66.0,77.4,100.0,2.6,,,2.7,,%
E14000698,22.8,27.4,46.4,27.9,18.0,50.9,79.9,82.0,67.6,2.6,,,2.6,,%
E14000699,20.8,34.7,53.0,25.5,12.6,23.0,100.0,87.4,100.0,3.9,,,4.6,,%
E14000700,24.6,40.4,100.0,73.2,26.2,,,73.8,75.3,6.1,,,6.4,,%
E14000701,32.0,32.4,77.5,68.1,28.4,,47.5,71.6,100.0,6.6,,45.3,6.8,51.3,%
E14000702,34.3,26.3,29.5,11.8,10.1,15.9,70.5,89.9,92.5,3.3,,,3.5,,%
E14000703,23.5,31.5,100.0,100.0,13.8,,23.1,86.2,100.0,4.2,,,3.4,,%
E14000704,56.2,42.9,78.7,66.0,21.5,58.0,35.9,78.5,61.4,10.0,,38.2,10.4,,%
E14000705,23.4,38.4,75.5,65.0,15.8,60.0,81.7,84.2,66.6,4.8,,,4.4,,%
E14000706,53.9,50.7,81.6,89.3,29.9,,47.6,70.1,71.4,,,,,,%
E14000707,19.9,39.3,37.2,52.1,25.5,,59.8,74.5,,17.6,,,18.1,,%
E14000708,14.3,41.3,57.5,62.6,28.3,66.2,44.6,71.7,56.8,5.1,,,5.3,,%
E14000709,28.3,32.8,80.4,42.6,20.8,,40.1,79.2,86.1,2.8,27.4,16.1,2.8,32.5,%
E14000710,44.3,36.1,91.2,49.9,22.4,35.9,17.5,77.6,91.4,2.3,,,2.3,,%
E14000711,30.7,36.9,51.2,42.6,19.5,37.9,34.4,80.5,64.4,5.4,,35.9,4.5,,%
E14000712,17.9,21.0,42.3,24.6,9.4,30.5,65.9,90.6,100.0,4.2,,,4.4,,%
E14000713,14.6,38.0,60.5,30.0,20.6,41.2,76.5,79.4,100.0,3.1,,,3.1,,%
E14000714,20.5,40.0,41.6,30.6,25.6,,61.5,74.4,100.0,10.0,,44.0,10.7,,%
E14000715,,28.5,,33.7,13.2,,56.4,86.8,100.0,5.4,,,6.0,,%
E14000716,28.6,47.0,70.5,54.6,28.8,31.2,29.5,71.2,62.4,9.4,,31.2,9.8,,%
E14000717,18.6,44.5,23.7,34.2,28.2,,81.3,71.8,47.2,9.7,,27.5,9.8,,%
E14000718,30.1,14.4,77.9,31.7,9.8,,,90.2,84.5,4.9,,34.7,5.0,37.4,%
E14000719,26.1,33.3,70.2,36.8,15.5,61.2,,84.5,100.0,3.6,,,3.7,,%
E14000720,53.1,23.1,100.0,61.0,19.9,51.4,,80.1,100.0,9.9,,,10.8,,%
E14000721,36.3,23.0,100.0,53.5,12.5,,,87.5,61.2,5.6,,,5.6,,%
E14000722,21.7,34.2,,17.1,19.9,,,80.1,92.7,,,,,,%
E14000723,21.1,37.8,50.9,46.4,27.0,45.4,44.0,73.0,64.5,3.4,,,3.5,,%
E14000724,42.0,37.6,47.1,39.4,19.0,65.1,52.9,81.0,70.1,2.9,,17.9,3.0,28.7,%
E14000725,10.6,46.5,45.4,23.5,25.5,15.0,54.6,74.5,89.1,8.1,,29.0,8.0,,%
E14000726,43.6,26.2,75.0,61.1,15.4,52.1,37.6,84.6,47.9,3.6,,,3.7,,%
E14000727,49.9,44.6,82.3,82.1,39.8,82.0,43.2,60.2,18.0,5.6,,,6.0,,%
E14000728,30.5,31.8,45.9,37.3,15.6,,54.1,84.4,65.5,2.6,100.0,21.2,2.7,,%
E14000729,28.0,36.9,80.1,53.1,27.2,,37.1,72.8,63.0,7.1,100.0,45.7,7.4,,%
E14000730,37.2,35.2,64.5,40.3,18.8,,35.5,81.2,100.0,2.1,,,2.0,,%
E14000731,22.5,43.2,34.6,76.3,17.8,,79.1,82.2,100.0,5.2,88.0,59.4,5.6,,%
E14000732,24.6,31.6,44.3,28.4,19.1,37.9,59.0,80.9,100.0,9.9,,52.2,10.3,,%
E14000733,18.3,44.9,66.4,50.3,30.0,34.3,33.6,70.0,65.7,3.1,16.6,13.6,2.8,12.1,%
E14000734,45.9,42.1,100.0,56.8,20.8,,,79.2,88.0,,,,,,%
E14000735,16.8,32.8,82.1,20.0,16.7,,65.7,83.3,100.0,14.1,,71.1,15.1,,%
E14000736,26.7,51.3,85.8,50.1,33.6,42.1,41.3,66.4,100.0,,,,,,%
E14000737,52.2,35.2,100.0,78.3,32.8,52.8,38.4,67.2,55.8,7.4,67.1,22.2,7.5,,%
E14000738,19.2,41.0,41.5,25.5,19.7,,58.5,80.3,100.0,5.2,,27.7,5.4,47.1,%
E14000739,34.4,34.6,100.0,77.6,17.8,64.9,43.9,82.2,67.1,2.6,,,2.7,,%
E14000740,13.5,53.2,57.1,42.6,37.1,55.5,42.9,62.9,100.0,3.4,,17.1,3.5,,%
E14000741,26.9,36.5,60.1,57.5,32.0,54.7,,68.0,45.3,7.9,,27.4,7.9,,%
E14000742,22.4,32.0,81.6,31.5,14.6,,43.6,85.4,100.0,5.5,,,6.2,,%
E14000743,19.9,37.0,23.7,26.3,16.5,27.8,76.3,83.5,72.2,2.2,,,2.1,,%
E14000744,26.0,32.0,43.9,29.7,19.3,,59.5,80.7,76.0,4.3,,,4.4,,%
E14000745,19.7,40.8,80.0,44.3,26.4,,29.0,73.6,100.0,5.2,,,5.6,,%
E14000746,23.2,47.5,52.3,48.7,23.9,45.0,47.7,76.1,55.0,,,,,,%
E14000747,18.5,42.2,85.2,42.0,26.9,30.1,50.3,73.1,85.6,2.8,,,3.0,,%
E14000748,29.8,35.4,53.8,48.3,22.2,,44.8,77.8,,,,,,,%
E14000749,25.1,34.1,61.2,59.0,18.3,,58.3,81.7,100.0,,,,,,%
E14000750,61.3,34.8,51.0,51.8,29.0,52.2,49.0,71.0,47.8,7.0,,,7.5,,%
E14000751,49.3,28.7,82.5,37.4,14.5,,,85.5,100.0,2.3,,,2.4,,%
E14000752,18.4,35.8,65.5,70.5,28.7,,34.5,71.3,77.0,2.6,,,2.7,,%
E14000753,31.9,35.2,79.3,82.5,21.3,44.2,59.1,78.7,100.0,,,,,,%
E14000754,9.0,43.9,52.3,38.1,24.1,54.5,79.7,75.9,45.5,4.1,,,3.7,,%
E14000755,29.1,26.7,42.0,34.4,12.5,,72.3,87.5,72.9,5.7,76.9,63.4,5.9,,%
E14000756,18.7,27.5,23.7,25.3,17.0,40.1,79.5,83.0,70.3,10.0,,20.4,10.2,,%
E14000757,35.1,24.3,32.9,22.5,9.8,38.1,91.7,90.2,84.0,4.8,29.2,14.8,4.6,,%
E14000758,22.1,31.6,76.0,51.2,19.9,,,80.1,68.1,9.8,,,10.4,,%
E14000759,16.8,27.8,100.0,48.4,20.7,32.9,50.3,79.3,53.1,4.0,,34.6,4.2,,%
E14000760,36.2,36.0,68.9,49.5,27.2,37.8,37.3,72.8,62.2,7.8,,,8.1,,%
E14000761,23.9,30.8,,31.3,18.2,,100.0,81.8,83.8,7.9,,,8.0,,%
E14000762,16.1,50.1,54.0,41.9,25.7,33.2,46.0,74.3,73.7,3.8,31.9,17.8,4.0,14.3,%
E14000763,61.8,28.8,93.9,80.4,21.1,31.0,,78.9,81.3,11.8,,,12.4,,%
E14000764,49.0,23.2,100.0,55.9,16.6,36.1,,83.4,68.1,5.6,,31.8,5.9,,%
E14000765,35.0,41.5,72.0,48.9,26.1,20.9,28.0,73.9,79.1,5.7,,15.0,5.6,14.6,%
E14000766,10.5,38.9,48.2,27.8,22.7,34.7,69.3,77.3,73.1,5.3,,,5.7,,%
E14000767,31.4,41.3,57.8,24.1,21.4,37.6,42.2,78.6,85.1,4.1,,,4.3,,%
E14000768,29.8,45.9,100.0,67.5,32.2,39.5,24.6,67.8,60.5,4.9,,33.2,5.2,,%
E14000769,11.7,39.4,78.1,44.5,25.1,51.4,55.7,74.9,74.0,3.5,,,3.6,,%
E14000770,25.0,22.4,38.2,26.3,10.1,54.2,73.6,89.9,45.8,4.3,,21.8,4.6,,%
E14000771,13.9,37.5,45.3,34.4,24.6,31.6,60.8,75.4,100.0,3.9,,,3.9,,%
E14000772,47.6,39.9,64.4,59.5,31.3,58.0,21.7,68.7,42.0,3.3,45.2,27.4,3.4,,%
E14000773,14.1,38.6,58.1,21.2,26.9,46.7,48.6,73.1,81.6,3.8,,,3.9,,%
E14000774,11.0,33.8,48.0,30.3,17.2,22.9,52.0,82.8,77.1,2.3,,,2.4,,%
E14000775,19.4,37.8,39.0,30.7,21.9,21.4,61.0,78.1,82.2,6.4,33.9,18.2,6.5,,%
E14000776,44.0,43.7,75.7,50.3,26.7,47.7,,73.3,74.0,10.0,,,10.1,,%
E14000777,26.5,39.3,,57.9,34.1,54.4,,65.9,45.6,8.4,,,8.4,,%
E14000778,35.0,46.3,95.4,97.0,39.4,84.9,29.1,60.6,40.8,7.0,,,7.4,,%
E14000779,29.5,34.3,54.1,28.5,16.3,30.2,45.9,83.7,74.9,,,,,,%
E14000780,57.5,38.1,88.4,45.5,20.9,,56.0,79.1,100.0,,,,,,%
E14000781,31.0,29.5,67.9,32.3,18.4,44.1,,81.6,100.0,5.2,,,5.3,,%
E14000782,22.5,41.2,77.6,40.6,29.2,20.0,19.6,70.8,82.6,12.8,,39.2,13.2,37.9,%
E14000783,32.3,35.4,76.1,32.2,25.9,21.7,23.9,74.1,100.0,6.9,,10.3,7.0,,%
