geography_code,date,date_name,value,notes
E14000722,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000723,2024-03-01,Apr 2023-Mar 2024,27.0,Normal Value
E14000724,2024-03-01,Apr 2023-Mar 2024,19.0,Normal Value
E14000725,2024-03-01,Apr 2023-Mar 2024,25.5,Normal Value
E14000726,2024-03-01,Apr 2023-Mar 2024,15.4,Normal Value
E14000727,2024-03-01,Apr 2023-Mar 2024,39.8,Normal Value
E14000728,2024-03-01,Apr 2023-Mar 2024,15.6,Normal Value
E14000729,2024-03-01,Apr 2023-Mar 2024,27.2,Normal Value
E14000730,2024-03-01,Apr 2023-Mar 2024,18.8,Normal Value
E14000731,2024-03-01,Apr 2023-Mar 2024,17.8,Normal Value
E14000732,2024-03-01,Apr 2023-Mar 2024,19.1,Normal Value
E14000733,2024-03-01,Apr 2023-Mar 2024,30.0,Normal Value
E14000734,2024-03-01,Apr 2023-Mar 2024,20.8,Normal Value
E14000735,2024-03-01,Apr 2023-Mar 2024,16.7,Normal Value
E14000736,2024-03-01,Apr 2023-Mar 2024,33.6,Normal Value
E14000737,2024-03-01,Apr 2023-Mar 2024,32.8,Normal Value
E14000738,2024-03-01,Apr 2023-Mar 2024,19.7,Normal Value
E14000739,2024-03-01,Apr 2023-Mar 2024,17.8,Normal Value
E14000740,2024-03-01,Apr 2023-Mar 2024,37.1,Normal Value
E14000741,2024-03-01,Apr 2023-Mar 2024,32.0,Normal Value
E14000742,2024-03-01,Apr 2023-Mar 2024,14.6,Normal Value
E14000743,2024-03-01,Apr 2023-Mar 2024,16.5,Normal Value
E14000744,2024-03-01,Apr 2023-Mar 2024,19.3,Normal Value
E14000745,2024-03-01,Apr 2023-Mar 2024,26.4,Normal Value
E14000746,2024-03-01,Apr 2023-Mar 2024,23.9,Normal Value
E14000747,2024-03-01,Apr 2023-Mar 2024,26.9,Normal Value
E14000748,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
E14000749,2024-03-01,Apr 2023-Mar 2024,18.3,Normal Value
E14000750,2024-03-01,Apr 2023-Mar 2024,29.0,Normal Value
E14000751,2024-03-01,Apr 2023-Mar 2024,14.5,Normal Value
E14000752,2024-03-01,Apr 2023-Mar 2024,28.7,Normal Value
E14000753,2024-03-01,Apr 2023-Mar 2024,21.3,Normal Value
E14000754,2024-03-01,Apr 2023-Mar 2024,24.1,Normal Value
E14000755,2024-03-01,Apr 2023-Mar 2024,12.5,Normal Value
E14000756,2024-03-01,Apr 2023-Mar 2024,17.0,Normal Value
E14000757,2024-03-01,Apr 2023-Mar 2024,9.8,Normal Value
E14000758,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000759,2024-03-01,Apr 2023-Mar 2024,20.7,Normal Value
E14000760,2024-03-01,Apr 2023-Mar 2024,27.2,Normal Value
E14000761,2024-03-01,Apr 2023-Mar 2024,18.2,Normal Value
E14000762,2024-03-01,Apr 2023-Mar 2024,25.7,Normal Value
E14000763,2024-03-01,Apr 2023-Mar 2024,21.1,Normal Value
E14000764,2024-03-01,Apr 2023-Mar 2024,16.6,Normal Value
E14000765,2024-03-01,Apr 2023-Mar 2024,26.1,Normal Value
E14000766,2024-03-01,Apr 2023-Mar 2024,22.7,Normal Value
E14000767,2024-03-01,Apr 2023-Mar 2024,21.4,Normal Value
E14000768,2024-03-01,Apr 2023-Mar 2024,32.2,Normal Value
E14000769,2024-03-01,Apr 2023-Mar 2024,25.1,Normal Value
E14000770,2024-03-01,Apr 2023-Mar 2024,10.1,Normal Value
E14000771,2024-03-01,Apr 2023-Mar 2024,24.6,Normal Value
E14000772,2024-03-01,Apr 2023-Mar 2024,31.3,Normal Value
E14000773,2024-03-01,Apr 2023-Mar 2024,26.9,Normal Value
E14000774,2024-03-01,Apr 2023-Mar 2024,17.2,Normal Value
E14000775,2024-03-01,Apr 2023-Mar 2024,21.9,Normal Value
E14000776,2024-03-01,Apr 2023-Mar 2024,26.7,Normal Value
E14000777,2024-03-01,Apr 2023-Mar 2024,34.1,Normal Value
E14000778,2024-03-01,Apr 2023-Mar 2024,39.4,Normal Value
E14000779,2024-03-01,Apr 2023-Mar 2024,16.3,Normal Value
E14000780,2024-03-01,Apr 2023-Mar 2024,20.9,Normal Value
E14000781,2024-03-01,Apr 2023-Mar 2024,18.4,Normal Value
E14000782,2024-03-01,Apr 2023-Mar 2024,29.2,Normal Value
E14000783,2024-03-01,Apr 2023-Mar 2024,25.9,Normal Value
E14000784,2024-03-01,Apr 2023-Mar 2024,21.5,Normal Value
E14000785,2024-03-01,Apr 2023-Mar 2024,25.9,Normal Value
E14000786,2024-03-01,Apr 2023-Mar 2024,23.0,Normal Value
E14000787,2024-03-01,Apr 2023-Mar 2024,20.3,Normal Value
E14000788,2024-03-01,Apr 2023-Mar 2024,15.5,Normal Value
E14000789,2024-03-01,Apr 2023-Mar 2024,26.7,Normal Value
E14000790,2024-03-01,Apr 2023-Mar 2024,30.7,Normal Value
E14000791,2024-03-01,Apr 2023-Mar 2024,14.9,Normal Value
E14000792,2024-03-01,Apr 2023-Mar 2024,25.1,Normal Value
E14000793,2024-03-01,Apr 2023-Mar 2024,31.3,Normal Value
E14000794,2024-03-01,Apr 2023-Mar 2024,27.8,Normal Value
E14000795,2024-03-01,Apr 2023-Mar 2024,21.7,Normal Value
E14000796,2024-03-01,Apr 2023-Mar 2024,23.3,Normal Value
E14000797,2024-03-01,Apr 2023-Mar 2024,23.3,Normal Value
E14000798,2024-03-01,Apr 2023-Mar 2024,18.8,Normal Value
E14000799,2024-03-01,Apr 2023-Mar 2024,20.8,Normal Value
E14000800,2024-03-01,Apr 2023-Mar 2024,29.4,Normal Value
E14000801,2024-03-01,Apr 2023-Mar 2024,23.4,Normal Value
E14000802,2024-03-01,Apr 2023-Mar 2024,10.7,Normal Value
E14000803,2024-03-01,Apr 2023-Mar 2024,14.0,Normal Value
E14000804,2024-03-01,Apr 2023-Mar 2024,23.9,Normal Value
E14000805,2024-03-01,Apr 2023-Mar 2024,32.4,Normal Value
E14000806,2024-03-01,Apr 2023-Mar 2024,7.7,Normal Value
E14000807,2024-03-01,Apr 2023-Mar 2024,30.3,Normal Value
E14000808,2024-03-01,Apr 2023-Mar 2024,36.5,Normal Value
E14000809,2024-03-01,Apr 2023-Mar 2024,27.4,Normal Value
E14000810,2024-03-01,Apr 2023-Mar 2024,28.4,Normal Value
E14000811,2024-03-01,Apr 2023-Mar 2024,24.9,Normal Value
E14000812,2024-03-01,Apr 2023-Mar 2024,20.7,Normal Value
E14000813,2024-03-01,Apr 2023-Mar 2024,19.9,Normal Value
E14000814,2024-03-01,Apr 2023-Mar 2024,11.6,Normal Value
E14000815,2024-03-01,Apr 2023-Mar 2024,12.4,Normal Value
E14000816,2024-03-01,Apr 2023-Mar 2024,32.8,Normal Value
E14000817,2024-03-01,Apr 2023-Mar 2024,20.9,Normal Value
E14000818,2024-03-01,Apr 2023-Mar 2024,25.1,Normal Value
E14000819,2024-03-01,Apr 2023-Mar 2024,32.6,Normal Value
E14000820,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
E14000821,2024-03-01,Apr 2023-Mar 2024,21.0,Normal Value
E14000822,2024-03-01,Apr 2023-Mar 2024,22.2,Normal Value
E14000823,2024-03-01,Apr 2023-Mar 2024,12.0,Normal Value
E14000824,2024-03-01,Apr 2023-Mar 2024,12.5,Normal Value
E14000825,2024-03-01,Apr 2023-Mar 2024,15.6,Normal Value
E14000826,2024-03-01,Apr 2023-Mar 2024,14.5,Normal Value
E14000827,2024-03-01,Apr 2023-Mar 2024,20.0,Normal Value
E14000828,2024-03-01,Apr 2023-Mar 2024,10.7,Normal Value
E14000829,2024-03-01,Apr 2023-Mar 2024,19.4,Normal Value
E14000830,2024-03-01,Apr 2023-Mar 2024,13.8,Normal Value
E14000831,2024-03-01,Apr 2023-Mar 2024,37.7,Normal Value
E14000832,2024-03-01,Apr 2023-Mar 2024,29.9,Normal Value
E14000833,2024-03-01,Apr 2023-Mar 2024,15.3,Normal Value
E14000834,2023-12-01,Jan 2023-Dec 2023,10.5,Normal Value
E14000835,2024-03-01,Apr 2023-Mar 2024,17.8,Normal Value
E14000836,2024-03-01,Apr 2023-Mar 2024,16.7,Normal Value
E14000837,2024-03-01,Apr 2023-Mar 2024,31.7,Normal Value
E14000838,2024-03-01,Apr 2023-Mar 2024,25.3,Normal Value
E14000839,2024-03-01,Apr 2023-Mar 2024,17.8,Normal Value
E14000840,2024-03-01,Apr 2023-Mar 2024,26.7,Normal Value
E14000841,2024-03-01,Apr 2023-Mar 2024,11.4,Normal Value
E14000842,2024-03-01,Apr 2023-Mar 2024,23.0,Normal Value
E14000843,2024-03-01,Apr 2023-Mar 2024,33.0,Normal Value
E14000844,2024-03-01,Apr 2023-Mar 2024,14.3,Normal Value
E14000845,2024-03-01,Apr 2023-Mar 2024,15.4,Normal Value
E14000846,2024-03-01,Apr 2023-Mar 2024,18.7,Normal Value
E14000847,2024-03-01,Apr 2023-Mar 2024,16.4,Normal Value
E14000848,2024-03-01,Apr 2023-Mar 2024,21.6,Normal Value
E14000849,2024-03-01,Apr 2023-Mar 2024,15.0,Normal Value
E14000850,2024-03-01,Apr 2023-Mar 2024,16.1,Normal Value
E14000851,2024-03-01,Apr 2023-Mar 2024,19.3,Normal Value
E14000852,2024-03-01,Apr 2023-Mar 2024,18.5,Normal Value
E14000853,2024-03-01,Apr 2023-Mar 2024,27.3,Normal Value
E14000854,2024-03-01,Apr 2023-Mar 2024,25.3,Normal Value
E14000855,2024-03-01,Apr 2023-Mar 2024,22.6,Normal Value
E14000856,2024-03-01,Apr 2023-Mar 2024,20.6,Normal Value
E14000857,2024-03-01,Apr 2023-Mar 2024,13.5,Normal Value
E14000858,2024-03-01,Apr 2023-Mar 2024,16.1,Normal Value
E14000859,2024-03-01,Apr 2023-Mar 2024,26.8,Normal Value
E14000860,2024-03-01,Apr 2023-Mar 2024,26.5,Normal Value
E14000861,2024-03-01,Apr 2023-Mar 2024,23.7,Normal Value
E14000862,2024-03-01,Apr 2023-Mar 2024,21.4,Normal Value
E14000863,2024-03-01,Apr 2023-Mar 2024,19.3,Normal Value
E14000864,2024-03-01,Apr 2023-Mar 2024,15.7,Normal Value
E14000865,2024-03-01,Apr 2023-Mar 2024,31.1,Normal Value
E14000866,2024-03-01,Apr 2023-Mar 2024,33.3,Normal Value
E14000867,2024-03-01,Apr 2023-Mar 2024,27.8,Normal Value
E14000868,2024-03-01,Apr 2023-Mar 2024,18.0,Normal Value
E14000869,2024-03-01,Apr 2023-Mar 2024,19.1,Normal Value
E14000870,2024-03-01,Apr 2023-Mar 2024,14.5,Normal Value
E14000871,2024-03-01,Apr 2023-Mar 2024,25.4,Normal Value
E14000872,2024-03-01,Apr 2023-Mar 2024,15.6,Normal Value
E14000873,2024-03-01,Apr 2023-Mar 2024,21.6,Normal Value
E14000874,2024-03-01,Apr 2023-Mar 2024,3.4,Normal Value
E14000875,2024-03-01,Apr 2023-Mar 2024,44.0,Normal Value
E14000876,2024-03-01,Apr 2023-Mar 2024,18.5,Normal Value
E14000877,2024-03-01,Apr 2023-Mar 2024,7.9,Normal Value
E14000878,2024-03-01,Apr 2023-Mar 2024,23.4,Normal Value
E14000879,2024-03-01,Apr 2023-Mar 2024,19.5,Normal Value
E14000880,2024-03-01,Apr 2023-Mar 2024,29.4,Normal Value
E14000881,2024-03-01,Apr 2023-Mar 2024,18.5,Normal Value
E14000882,2024-03-01,Apr 2023-Mar 2024,22.1,Normal Value
E14000883,2024-03-01,Apr 2023-Mar 2024,16.4,Normal Value
E14000884,2024-03-01,Apr 2023-Mar 2024,16.8,Normal Value
E14000885,2024-03-01,Apr 2023-Mar 2024,18.4,Normal Value
E14000886,2024-03-01,Apr 2023-Mar 2024,17.3,Normal Value
E14000887,2024-03-01,Apr 2023-Mar 2024,21.3,Normal Value
E14000888,2024-03-01,Apr 2023-Mar 2024,19.2,Normal Value
E14000889,2024-03-01,Apr 2023-Mar 2024,11.6,Normal Value
E14000890,2024-03-01,Apr 2023-Mar 2024,9.2,Normal Value
E14000891,2024-03-01,Apr 2023-Mar 2024,27.5,Normal Value
E14000892,2024-03-01,Apr 2023-Mar 2024,12.7,Normal Value
E14000893,2024-03-01,Apr 2023-Mar 2024,8.1,Normal Value
E14000894,2024-03-01,Apr 2023-Mar 2024,20.4,Normal Value
E14000895,2024-03-01,Apr 2023-Mar 2024,20.5,Normal Value
E14000896,2024-03-01,Apr 2023-Mar 2024,20.1,Normal Value
E14000897,2024-03-01,Apr 2023-Mar 2024,20.6,Normal Value
E14000898,2024-03-01,Apr 2023-Mar 2024,14.7,Normal Value
E14000899,2024-03-01,Apr 2023-Mar 2024,14.5,Normal Value
E14000900,2024-03-01,Apr 2023-Mar 2024,19.1,Normal Value
E14000901,2024-03-01,Apr 2023-Mar 2024,11.6,Normal Value
E14000902,2024-03-01,Apr 2023-Mar 2024,29.3,Normal Value
E14000903,2024-03-01,Apr 2023-Mar 2024,22.4,Normal Value
E14000904,2024-03-01,Apr 2023-Mar 2024,36.4,Normal Value
E14000905,2024-03-01,Apr 2023-Mar 2024,17.5,Normal Value
E14000906,2024-03-01,Apr 2023-Mar 2024,10.5,Normal Value
E14000907,2024-03-01,Apr 2023-Mar 2024,18.4,Normal Value
E14000908,2024-03-01,Apr 2023-Mar 2024,18.9,Normal Value
E14000909,2024-03-01,Apr 2023-Mar 2024,23.7,Normal Value
E14000910,2024-03-01,Apr 2023-Mar 2024,18.7,Normal Value
E14000911,2024-03-01,Apr 2023-Mar 2024,17.1,Normal Value
E14000912,2024-03-01,Apr 2023-Mar 2024,21.7,Normal Value
E14000913,2024-03-01,Apr 2023-Mar 2024,23.5,Normal Value
E14000914,2024-03-01,Apr 2023-Mar 2024,23.2,Normal Value
E14000915,2024-03-01,Apr 2023-Mar 2024,27.0,Normal Value
E14000916,2024-03-01,Apr 2023-Mar 2024,18.0,Normal Value
E14000917,2024-03-01,Apr 2023-Mar 2024,19.7,Normal Value
